id,gender,age,degree,field,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,ai_experience,info_use_1,info_use_2,info_use_3,info_use_4,info_use_5,inter_style,crit_visible_chat,self_assess_1,self_assess_2,self_assess_3,n_chats_valid,obs_info_n,obs_schreiben_n,obs_praktisch_n,obs_technisch_n,obs_lernen_n,obs_sent_freundlich_n,obs_sent_neutral_n,obs_sent_unfreundlich_n,obs_kritisch_ja_n,obs_kritisch_nein_n
241,1.0,24.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,2.0,,3.0,5.0,0.0,2.0,2.0,4.0,1.0,5.0,5,0,0,0,5,0,1,4,0,2,3
244,1.0,30.0,2.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,,1.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,5,0,0,0,0,5,5,0,0,1,4
246,1.0,23.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,,3.0,2.0,5.0,,,,,,,,,,,,,,
248,,,,,,,,,,,3.0,5.0,,3.0,,2.0,1.0,5.0,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2.0,22.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,,3.0,2.0,5.0,4.0,5.0,,,,,,,,,,,
256,,,,,,,,,,,3.0,2.0,4.0,2.0,1.0,1.0,3.0,5.0,,,,,,,,,,,,,,
257,1.0,24.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,,3.0,4.0,4.0,3.0,3.0,5,0,1,4,0,0,2,3,0,4,1
258,2.0,24.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,4.0,,2.0,2.0,5.0,5.0,4.0,5,1,0,3,1,0,2,3,0,0,5
259,1.0,25.0,3.0,10.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,6.0,2.0,,,2.0,3.0,4.0,5.0,2.0,5.0,5,3,2,0,0,0,1,4,0,0,5
260,,,,,,,,,,,4.0,1.0,2.0,1.0,5.0,1.0,3.0,2.0,,,,,,,,,,,,,,
262,2.0,26.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,,,3.0,1.0,4.0,5.0,5.0,3.0,,,,,,,,,,,
263,2.0,29.0,2.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,2.0,5.0,3.0,4.0,,,,,,,,,,,
264,1.0,25.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,,,2.0,4.0,4.0,3.0,4.0,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.0,25.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,5.0,5.0,,2.0,,3.0,3.0,2.0,4.0,5.0,3.0,,,,,,,,,,,
271,2.0,20.0,1.0,5.0,4.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,4.0,3.0,3.0,0.0,2.0,2.0,2.0,5.0,,,,,,,,,,,,,,
278,1.0,22.0,1.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,,,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5,3,0,0,0,2,1,2,2,1,4
286,,,,,,,,,,,5.0,,,,,,4.0,2.0,,,,,,,,,,,,,,
289,,,,,,,,,,,4.0,1.0,1.0,1.0,7.0,,4.0,2.0,,,,,,,,,,,,,,
295,2.0,23.0,1.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,
296,1.0,21.0,1.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,5.0,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,1.0,37.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,5.0,5,3,1,0,0,1,3,2,0,2,3
315,,,,,,,,,,,4.0,,,,,,2.0,4.0,,,,,,,,,,,,,,
316,,,,,,,,,,,4.0,3.0,2.0,3.0,2.0,,3.0,4.0,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,4.0,3.0,4.0,,2.0,1.0,2.0,5.0,,,,,,,,,,,,,,
327,2.0,28.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,,3.0,4.0,,,,,,,,,,,,,,
328,1.0,25.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,1.0,2.0,,3.0,3.0,4.0,3.0,4.0,4.0,5,5,0,0,0,0,0,4,1,0,5
334,2.0,22.0,3.0,10.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,5.0,3.0,5,2,1,1,0,1,0,2,3,0,5
337,,,,,,,,,,,4.0,1.0,3.0,2.0,3.0,1.0,2.0,5.0,,,,,,,,,,,,,,
338,2.0,24.0,2.0,3.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,2.0,4.0,,2.0,2.0,5.0,5.0,4.0,,,,,,,,,,,
